"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","PGA1","PGA2","PGA3","PGA4","PGA5","PGA1.1","PGA2.1","PGA3.1","PGA4.1","PGA5.1","sigma","valid","event.num","mag","eq.type","depth","resids","model"
"ISKH06",136.8206,37.0533,294.595399,279.339,293.647175,"soft-soil",500,461,1.416667,5.532237,4.863754,5.781388,3.16261,1.992926,-1,3.733682,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.114834274920941,"1990FT"
"OSKH01",135.2836,34.3977,298.874129,284.349,298.092851,"soft-soil",500,500,4.4,1.991154,1.927455,2.014654,1.296863,0.977038,-1,3.529205,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.262692638407839,"1990FT"
"FKSH10",140.093,37.1616,301.257858,296.588,300.237596,"rock",487,401,0.106667,2.153576,2.046598,2.199352,1.490351,1.149564,-1,1.329154,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.187457242790266,"1990FT"
"WKYH04",135.5454,33.5559,305.309715,294.012,304.572806,"rock",549,397,0.132231,0.352353,0.31115,0.363388,0.219591,0.184437,-1,1.36768,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.643014690827467,"1990FT"
"ISKH03",137.2436,37.3458,306.649053,292.12,305.715247,"hard-soil",310,255,0.376727,1.24553,1.077818,1.247609,0.76236,0.967605,-1,2.490869,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.363805455468306,"1990FT"
"NIGH09",139.1279,37.5386,311.604878,302.444,310.629352,"rock",462,399,0.153333,1.000531,0.850381,1.000584,0.684714,0.58935,-1,1.245886,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.165864757483137,"1990FT"
"ISKH04",136.7176,37.1902,312.281243,297.024,311.384021,"medium-soil",443,440,0.430545,3.937189,3.524769,4.039687,2.33748,1.461555,-1,1.917989,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.264284548158314,"1990FT"
"HYGH09",135.0844,34.9082,313.330848,297.661,312.570194,"hard-soil",364,292,0.287614,2.383451,2.122408,2.849593,1.934747,0.705453,-1,2.34233,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.042819206815196,"1990FT"
"KYTH02",135.2496,35.7101,313.777335,297.406,312.981154,"rock",518,450,0.101818,2.440698,2.381379,2.535574,1.618116,1.22915,-1,1.317169,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.25718701861805,"1990FT"
"WKYH01",135.2122,33.9804,315.915079,302.701,315.194602,"rock",462,351,0.196189,0.470874,0.456052,0.475362,0.309813,0.36243,-1,1.242364,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.435234493694999,"1990FT"
"FKSH08",140.2144,37.2822,318.160343,313.586,317.186666,"rock",562,473,0.115556,0.93888,0.810843,0.96646,0.621208,0.390457,-1,1.102637,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.133495789737699,"1990FT"
"NIGH06",139.0676,37.6527,323.12148,313.632,322.178013,"hard-soil",336,264,0.248889,3.353821,3.112196,3.426499,2.323324,1.127386,-1,1.965384,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.199619524012358,"1990FT"
"ISKH01",137.2844,37.5266,324.029048,309.695,323.137501,"soft-soil",344,319,0.874797,1.512749,1.448576,1.80061,1.247434,0.75385,-1,2.665391,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.264819641405623,"1990FT"
"NIGH07",139.261,37.6658,327.744649,318.91,326.809218,"rock",528,403,0.148571,0.464544,0.424737,0.51836,0.326866,0.324018,-1,1.040563,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.38914828411595,"1990FT"
"FKSH12",140.5703,37.2169,328.997204,325.783,328.049087,"hard-soil",448,357,0.244,2.516131,2.265032,2.941235,1.971699,0.422893,-1,1.722591,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.118892168200246,"1990FT"
"NIGH08",139.4648,37.6708,332.594556,324.462,331.667603,"soft-soil",326,304,1.343415,1.354388,1.33791,1.539807,0.996075,0.884367,-1,2.269921,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.229583842900908,"1990FT"
"FKSH03",139.7533,37.6078,333.734949,326.719,332.806379,"soft-soil",349,302,0.887944,0.862814,0.727034,0.869774,0.599672,0.441764,-1,2.215266,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.48387116071177,"1990FT"
"FKSH09",140.4264,37.353,334.496451,330.458,333.562616,"rock",584,433,0.16381,0.335035,0.323169,0.397363,0.280811,0.2379,-1,0.918481,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.45364048239231,"1990FT"
"FKSH18",140.538,37.4894,352.528892,348.465,351.63562,"hard-soil",307,251,0.390649,0.893972,0.74081,0.912492,0.484885,0.442989,-1,1.351353,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.261061973967154,"1990FT"
"FKSH19",140.7227,37.4703,359.717338,356.287,358.838326,"hard-soil",338,255,0.313725,1.147126,1.131183,1.334677,0.904272,0.388109,-1,1.244024,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0412958892446599,"1990FT"
"FKSH17",140.5974,37.6636,371.703862,367.357,370.849771,"rock",543,434,0.133333,0.568198,0.535562,0.570193,0.357657,0.191362,-1,0.620965,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0642573676237872,"1990FT"
"FKSH16",140.3766,37.7643,371.881093,366.606,371.029047,"rock",531,462,0.088889,0.394126,0.339591,0.395981,0.245427,0.16831,-1,0.625869,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.265527269140415,"1990FT"
"YMTH07",140.0278,37.896,372.22329,365.583,371.375456,"hard-soil",371,312,0.242956,0.57883,0.539585,0.602042,0.402189,0.424033,-1,1.128162,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.320311599095024,"1990FT"
"YMTH05",139.8017,37.9883,374.902588,367.403,374.062777,"rock",533,498,0.044444,0.304559,0.291824,0.329368,0.219695,0.268645,-1,0.620666,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.327736949452569,"1990FT"
"FKSH20",140.9871,37.4911,375.309898,372.129,374.460937,"medium-soil",350,350,0.589714,3.294862,2.704966,3.434164,2.039522,0.785384,-1,0.856583,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.499392359614545,"1990FT"
"TKSH04",134.5337,33.9902,375.753916,362.276,375.162668,"hard-soil",475,361,0.2,0.405781,0.395337,0.447385,0.308905,0.140932,-1,1.168005,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.470477239593445,"1990FT"
"NIGH04",139.5428,38.1313,383.640801,375.166,382.82112,"soft-soil",392,359,0.683254,0.912049,0.820257,0.992017,0.599743,0.621337,-1,1.325902,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.208561480399466,"1990FT"
"TKSH01",134.4994,33.7751,385.511408,372.615,384.942962,"hard-soil",490,365,0.207543,0.299931,0.291372,0.339579,0.235936,0.2451,-1,1.048168,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.555983081789047,"1990FT"
"TTRH05",134.3426,35.5729,389.119761,373.156,388.500973,"rock",479,366,0.19224,0.377799,0.368531,0.378396,0.252699,0.290578,-1,0.58445,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.200273337361297,"1990FT"
"KGWH04",134.3043,34.2264,390.723105,376.653,390.151566,"hard-soil",407,299,0.232804,0.293227,0.286128,0.293246,0.182802,0.159178,-1,1.004977,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.545595763360015,"1990FT"
"TTRH06",134.1988,35.3946,398.457426,382.664,397.861715,"rock",586,511,0.098537,0.659963,0.656565,0.694367,0.444982,0.314681,-1,0.529427,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.0934716418392946,"1990FT"
"NIGH02",139.5486,38.2799,399.727813,391.106,398.936524,"medium-soil",359,342,0.55697,0.797136,0.728578,0.814457,0.558148,0.698955,-1,0.703493,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.0152162728207924,"1990FT"
"OKYH11",134.1162,35.0732,402.251048,386.79,401.672785,"rock",531,410,0.142857,0.506347,0.399375,0.508178,0.308322,0.252238,-1,0.507284,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.103870289158133,"1990FT"
