"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","PGA1","PGA2","PGA3","PGA4","PGA5","PGA1.1","PGA2.1","PGA3.1","PGA4.1","PGA5.1","sigma","valid","event.num","mag","eq.type","depth","resids","model"
"IBR006",140.4528,36.369,79.781877,79.781877,62.96148,"hard-soil",393,331,0.214417,57.434781,52.292542,60.151496,40.608771,56.179081,-1,34.021885,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.186681381640159,"1990FT"
"CHB005",140.83,35.7358,92.316573,92.316573,78.239055,"hard-soil",505,430,0.254278,10.856336,9.789285,12.237154,8.650367,3.991696,-1,27.003327,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.440666303084799,"1990FT"
"TCG006",140.1297,36.7639,111.9246,111.9246,100.628605,"rock",487,413,0.134737,14.619638,12.983676,15.548628,10.513164,11.172454,-1,10.870818,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0771354445750705,"1990FT"
"IBR008",139.9828,36.3062,116.363309,116.363309,105.54345,"rock",557,476,0.088,24.699687,23.522152,25.606563,15.966195,11.974957,-1,10.125998,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.366039214781517,"1990FT"
"FKS016",140.1914,37.1228,128.070611,128.070611,118.326166,"hard-soil",302,250,0.391762,54.066704,43.797843,54.067666,25.744597,11.605538,-1,15.063036,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.463540208421381,"1990FT"
"TCG012",139.8047,36.2859,131.180349,131.180349,121.685184,"hard-soil",379,318,0.322957,26.184019,23.877903,29.52068,20.850139,11.442038,-1,14.373221,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.220442080355411,"1990FT"
"CHB018",140.3222,35.1577,163.560998,163.560998,156.048711,"hard-soil",343,286,0.247977,2.497361,2.079181,2.717667,1.636106,1.103188,-1,9.054255,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.638960423772218,"1990FT"
"TCG010",139.4376,36.6347,163.635575,163.635575,156.126876,"rock",540,461,0.149865,10.654647,6.283854,10.66933,3.697756,4.72304,-1,5.071989,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0930477830345274,"1990FT"
"TCG004",139.4204,36.8061,169.09789,169.09789,161.842814,"hard-soil",452,383,0.280026,6.969158,6.673225,7.444153,4.740068,5.454672,-1,8.399702,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0999281105435045,"1990FT"
"GNM009",139.3251,36.4106,171.236913,171.236913,164.076447,"hard-soil",414,349,0.29666,19.584476,18.650595,20.242673,12.950659,8.209271,-1,8.161852,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.358903976045017,"1990FT"
"FKS029",139.3801,37.0159,179.859227,179.859227,173.055891,"rock",454,385,0.16092,12.006975,10.707971,13.293435,9.03378,2.141678,-1,4.08206,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.418827802445377,"1990FT"
"MYG016",140.621,38.0085,192.104797,192.104797,185.750513,"hard-soil",444,375,0.282344,7.693591,6.8569,8.021198,4.912874,3.253657,-1,6.210236,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.043019711374066,"1990FT"
"KNG008",139.3265,35.5751,194.260955,194.260955,187.979569,"hard-soil",330,275,0.35939,8.298941,6.902413,8.901555,5.600974,2.240432,-1,6.04132,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0578691010826053,"1990FT"
"GNM003",139.0784,36.6578,194.526945,194.526945,188.254436,"hard-soil",395,333,0.310319,11.445796,10.734438,11.629735,5.925814,4.882078,-1,6.02085,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251121504362047,"1990FT"
"GNM002",138.9695,36.7819,206.176257,206.176257,200.268941,"rock",465,394,0.122909,11.355562,10.071897,14.359032,9.98976,2.447985,-1,2.914576,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.538535891427038,"1990FT"
"MYG012",141.0193,38.3175,219.786533,219.786533,214.254802,"rock",430,363,0.156303,8.133276,7.884597,10.281961,7.170808,5.38086,-1,2.463722,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.505187798842026,"1990FT"
"NIG019",138.7898,37.3057,239.133136,239.133136,234.059088,"hard-soil",395,332,0.312805,2.922415,2.525617,3.085068,1.809838,0.487194,-1,3.480985,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.139334659716514,"1990FT"
"TKY008",139.3909,34.7852,244.198275,244.198275,239.231682,"hard-soil",445,377,0.282535,2.880178,2.401336,2.947326,1.547084,0.895892,-1,3.278563,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135230601661629,"1990FT"
"NGN014",138.4844,36.0956,247.073836,247.073836,242.166225,"hard-soil",314,261,0.294689,2.540051,2.104881,2.691123,1.667916,0.722096,-1,3.169499,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.177763071171796,"1990FT"
"IBRH18",140.6198,36.3631,68.612749,68.612749,48.028214,"rock",558,487,0.138889,81.270624,71.191777,83.327144,51.855779,32.495787,-1,23.840721,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.475110448024446,"1990FT"
"IBRH13",140.575,36.7955,84.322152,84.322152,68.623796,"hard-soil",335,287,0.317815,37.311757,35.556163,38.879131,26.05298,23.633931,-1,31.226023,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0563982132069734,"1990FT"
"IBRH15",140.3013,36.5566,92.643562,92.643562,78.624612,"rock",450,343,0.164912,69.003732,58.058722,71.553001,40.776162,27.235137,-1,15.054462,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.58620223204343,"1990FT"
"IBRH17",140.314,36.0864,96.111734,96.111734,82.682921,"soft-soil",300,272,2.746074,38.86427,37.7208,41.710765,29.479109,21.432632,-1,32.815592,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0605006514542086,"1990FT"
"FKSH13",140.5853,36.9951,97.432078,97.432078,84.214072,"rock",561,428,0.170909,36.528559,28.070809,36.571694,21.439651,12.272732,-1,13.844431,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30697981803373,"1990FT"
"IBRH12",140.3181,36.8369,102.236696,102.236696,89.729271,"hard-soil",485,400,0.2,45.284856,41.021489,50.194008,33.415569,20.105792,-1,22.745193,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.256121794055994,"1990FT"
"TCGH13",140.1781,36.7342,107.200365,107.200365,95.346307,"rock",573,456,0.106667,45.284554,42.223745,48.354747,28.45605,13.96533,-1,11.741409,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.555836533547984,"1990FT"
"FKSH12",140.5703,37.2169,116.339528,116.339528,105.517229,"hard-soil",448,357,0.244,42.452035,38.644079,46.830578,30.111308,18.080565,-1,18.064835,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.330248962088195,"1990FT"
"TCGH12",139.9842,36.6959,120.518725,120.518725,110.107961,"medium-soil",343,305,0.523077,20.998537,20.396808,24.150768,16.888986,14.218612,-1,13.754601,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.171114211108086,"1990FT"
"TCGH10",140.0225,36.8578,123.851419,123.851419,113.746094,"hard-soil",371,306,0.277333,36.798698,32.716524,41.466082,28.666651,14.879633,-1,16.065595,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30887034082577,"1990FT"
"TCGH15",139.8637,36.5595,126.989967,126.989967,117.155673,"hard-soil",423,337,0.251034,18.689803,17.61377,20.129936,13.836921,9.686776,-1,15.312265,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0608128844752471,"1990FT"
"FKSH20",140.9871,37.4911,132.491338,132.491338,123.097339,"medium-soil",350,350,0.589714,20.894997,20.464869,22.714634,15.821674,8.484892,-1,11.45967,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251836857389129,"1990FT"
"FKSH09",140.4264,37.353,134.277061,134.277061,125.017315,"rock",584,433,0.16381,35.549278,32.488684,38.299331,24.269442,5.981303,-1,7.695958,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.625469431077237,"1990FT"
"FKSH19",140.7227,37.4703,135.09439,135.09439,125.894775,"hard-soil",338,255,0.313725,24.352693,24.062619,26.728413,18.024033,13.713746,-1,13.559245,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.249107386623619,"1990FT"
"FKSH10",140.093,37.1616,136.762701,136.762701,127.683344,"rock",487,401,0.106667,42.264283,41.015595,45.381486,32.020865,29.586912,-1,7.418404,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.742638535156222,"1990FT"
"TCGH11",139.7694,36.7084,137.903636,137.903636,128.904666,"hard-soil",328,256,0.3,27.725916,26.425783,28.910804,18.942442,11.757538,-1,13.009593,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.307764154340102,"1990FT"
"TCGH09",139.8364,36.8625,137.98283,137.98283,128.989385,"rock",468,378,0.133333,10.265722,9.796102,11.08022,6.962078,5.707834,-1,7.286633,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.128526402168959,"1990FT"
"FKSH08",140.2144,37.2822,138.66766,138.66766,129.721701,"rock",562,473,0.115556,25.469331,20.15161,27.587845,17.823733,5.822201,-1,7.213921,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.446138367514931,"1990FT"
"FKSH18",140.538,37.4894,142.470341,142.470341,133.778914,"hard-soil",307,251,0.390649,26.163746,24.960372,34.390147,24.165064,10.661238,-1,12.172729,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.31186310014146,"1990FT"
"FKSH05",139.8725,37.2544,157.079996,157.079996,149.241834,"rock",596,458,0.153333,4.928712,4.694822,4.930655,3.143196,1.744007,-1,5.550605,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0727211915283031,"1990FT"
"FKSH17",140.5974,37.6636,157.578847,157.578847,149.766795,"rock",543,434,0.133333,18.086997,15.821763,18.531207,11.99121,5.130082,-1,5.512352,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.457917932419617,"1990FT"
"TCGH07",139.4534,36.8817,168.846905,168.846905,161.58056,"hard-soil",419,343,0.252727,14.921121,12.995873,18.392178,12.714502,4.216272,-1,8.428141,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.188073666024043,"1990FT"
"FKSH16",140.3766,37.7643,174.473229,174.473229,167.45121,"rock",531,462,0.088889,7.081723,6.115061,7.471038,4.730231,2.66216,-1,4.383269,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.144602669638895,"1990FT"
"SITH06",139.2894,36.1131,177.280447,177.280447,170.374168,"hard-soil",369,294,0.218182,12.609927,12.061906,13.221687,8.877297,4.526414,-1,7.5313,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.204545992106562,"1990FT"
"MYGH10",140.8924,37.9411,180.481936,180.481936,173.702991,"soft-soil",347,329,0.928685,11.803976,11.672374,12.545262,7.632555,4.911706,-1,9.379756,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0949676535215638,"1990FT"
"CHBH16",139.9649,35.1384,182.34007,182.34007,175.632859,"hard-soil",361,330,0.30303,3.059826,2.734545,3.100834,1.91,1.052967,-1,7.046789,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.41110619316426,"1990FT"
"SITH11",139.2726,35.8637,185.724165,185.724165,179.143701,"hard-soil",371,279,0.264727,10.934002,9.500847,11.787776,7.40061,2.612425,-1,6.742914,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.148914703680727,"1990FT"
"SITH10",139.2191,35.9964,185.994729,185.994729,179.424188,"rock",542,404,0.154286,6.078898,5.927297,6.466163,4.397759,3.021963,-1,3.767821,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.196766426708209,"1990FT"
"FKSH03",139.7533,37.6078,190.287895,190.287895,183.870832,"soft-soil",349,302,0.887944,3.567931,3.344993,3.821005,2.701859,1.866452,-1,8.257908,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.39247482689656,"1990FT"
"MYGH09",140.6027,38.0091,192.573436,192.573436,186.235142,"medium-soil",358,315,0.400272,4.705859,4.694776,5.225185,3.657727,3.410621,-1,5.019221,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0290214426344667,"1990FT"
"TKYH12",139.265,35.6701,194.336055,194.336055,188.057179,"hard-soil",325,268,0.382456,5.966468,4.90918,6.047369,3.662304,2.361331,-1,6.035532,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0897066006322531,"1990FT"
"YMTH07",140.0278,37.896,200.861323,200.861323,194.792892,"hard-soil",371,312,0.242956,2.165196,2.145924,2.565398,1.797312,0.939201,-1,5.556119,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.413157201871716,"1990FT"
"FKSH21",139.3147,37.3421,201.147601,201.147601,195.088076,"hard-soil",364,317,0.287059,2.000622,1.982803,2.022113,1.40102,1.532913,-1,5.536106,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.445924829653415,"1990FT"
"KNGH18",139.1283,35.6437,206.399487,206.399487,200.498749,"hard-soil",388,349,0.324943,4.132663,3.94694,4.800975,3.35382,1.358324,-1,5.183192,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.118336772172742,"1990FT"
"SITH08",138.9691,36.0274,206.450021,206.450021,200.55077,"rock",520,399,0.141176,6.853118,5.781655,6.98242,4.080229,1.179092,-1,2.90463,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.298961354518765,"1990FT"
"GNMH11",138.921,36.2862,206.690884,206.690884,200.798709,"hard-soil",421,375,0.327619,3.235214,3.169587,3.697652,2.406817,1.193658,-1,5.164376,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.212015177247131,"1990FT"
"MYGH07",140.6405,38.1802,209.639075,209.639075,203.832141,"soft-soil",365,334,1.163761,17.465839,16.68044,17.854761,10.538418,5.132239,-1,6.467145,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.411494903977586,"1990FT"
"NIGH08",139.4648,37.6708,212.583102,212.583102,206.858829,"soft-soil",326,304,1.343415,1.896725,1.704604,1.995003,1.409422,1.220773,-1,6.235598,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.563254605863908,"1990FT"
"YMTH05",139.8017,37.9883,219.726015,219.726015,214.192721,"rock",533,498,0.044444,0.63283,0.584525,0.752782,0.52199,0.416644,-1,2.465544,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.625109666768004,"1990FT"
"NIGH12",138.9821,37.2239,220.28304,220.28304,214.764098,"rock",552,493,0.129333,0.882289,0.794902,0.989992,0.632232,0.435706,-1,2.448836,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.488646111454903,"1990FT"
"NIGH14",138.8521,37.0303,223.040957,223.040957,217.591977,"hard-soil",437,367,0.217857,1.183145,1.032807,1.224463,0.716366,0.425164,-1,4.222883,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.611589876183534,"1990FT"
"YMNH14",138.9675,35.5115,225.416838,225.416838,220.026705,"hard-soil",309,236,0.313023,1.801144,1.663034,1.961861,1.384024,0.898301,-1,4.102942,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.392194249467275,"1990FT"
"NIGH07",139.261,37.6658,225.421086,225.421086,220.031057,"rock",528,403,0.148571,0.671345,0.66037,0.692074,0.480492,0.327197,-1,2.300597,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.542053213690476,"1990FT"
"NIGH09",139.1279,37.5386,226.274708,226.274708,220.905508,"rock",462,399,0.153333,1.146066,1.141481,1.316879,0.862707,0.52748,-1,2.276961,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.299886905006312,"1990FT"
"NIGH11",138.744,37.1728,237.116516,237.116516,231.998367,"soft-soil",375,363,0.789231,0.778238,0.679559,0.948418,0.650265,0.592032,-1,4.631721,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.833515222410441,"1990FT"
"NIGH06",139.0676,37.6527,237.704012,237.704012,232.598791,"hard-soil",336,264,0.248889,2.400735,2.166777,2.53426,1.478953,1.139144,-1,3.540592,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.213261666759974,"1990FT"
"NGNH19",138.5845,35.9735,240.7492,240.7492,235.709943,"rock",473,425,0.102614,2.297546,1.935993,2.392188,1.452899,1.019151,-1,1.914912,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.00475496197927955,"1990FT"
"GNMH08",138.5244,36.4917,241.062944,241.062944,236.030385,"soft-soil",338,314,1.158133,3.137023,3.135111,3.350431,2.020507,1.155618,-1,4.419764,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.149146158327534,"1990FT"
"NIGH04",139.5428,38.1313,245.297201,245.297201,240.353317,"soft-soil",392,359,0.683254,1.507339,1.332884,1.56883,0.809676,0.562899,-1,4.204292,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.498900516685685,"1990FT"
"YMTH14",139.9916,38.386,249.134747,249.134747,244.268545,"medium-soil",310,261,0.514,1.782258,1.618237,1.987504,1.353837,0.87298,-1,2.51553,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.191587374224291,"1990FT"
"SZOH38",138.9779,35.0854,249.196667,249.196667,244.331698,"rock",588,526,0.094713,0.89128,0.845337,0.895382,0.522816,0.456202,-1,1.733591,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.311916765406811,"1990FT"
"MYGH06",141.071,38.5907,249.22352,249.22352,244.359086,"rock",593,554,0.04,1.337111,1.267272,1.445037,0.99185,0.944007,-1,1.733046,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135940250917938,"1990FT"
"MYGH05",140.7804,38.5793,250.0667,250.0667,245.218993,"soft-soil",305,283,0.885214,3.069268,2.878,3.126415,2.185064,1.587839,-1,3.975462,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.140296816949506,"1990FT"
"NIGH02",139.5486,38.2799,258.129253,258.129253,253.435813,"medium-soil",359,342,0.55697,1.306472,1.146963,1.315809,0.864555,0.687725,-1,2.265369,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.295589545021257,"1990FT"
"YMNH12",138.449,35.5623,265.233242,265.233242,260.667744,"rock",447,363,0.166667,1.237456,1.033473,1.237501,0.757351,0.589127,-1,1.439439,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.143894130286668,"1990FT"
"NGNH11",138.3052,35.9157,266.245154,266.245154,261.69731,"medium-soil",372,315,0.419017,4.173097,3.21942,4.189643,1.987014,0.811663,-1,2.063088,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.193259884708395,"1990FT"
"YMTH11",140.5544,38.7132,267.754482,267.754482,263.232716,"medium-soil",411,336,0.493221,1.681813,1.510674,2.005684,1.389677,0.78548,-1,2.02771,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.127835088274018,"1990FT"
"YMTH12",140.0055,38.6357,273.550921,273.550921,269.126562,"medium-soil",366,338,0.454315,0.782184,0.738632,0.855656,0.596536,0.54751,-1,1.897914,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.409848410584845,"1990FT"
"IWTH05",141.3512,38.8654,279.620858,279.620858,275.294069,"hard-soil",429,372,0.260769,3.599002,3.490562,3.814573,2.438894,1.18895,-1,2.178977,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.2046427103156,"1990FT"
"SZOH39",138.7724,34.7988,283.092508,283.092508,278.819598,"hard-soil",376,285,0.222222,0.473204,0.46075,0.483389,0.339626,0.363572,-1,2.095297,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.657780247286671,"1990FT"
"NGNH27",138.0479,36.577,283.366771,283.366771,279.09806,"hard-soil",381,318,0.251286,0.378633,0.360258,0.394645,0.252802,0.236545,-1,2.088837,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.76329091796062,"1990FT"
"SZOH34",138.4243,35.1304,287.861801,287.861801,283.660741,"rock",430,370,0.136092,1.287264,1.125561,1.377614,0.933312,0.279937,-1,1.113651,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.00461992527415035,"1990FT"
"IWTH26",141.0013,38.969,290.72019,290.72019,286.561039,"hard-soil",371,320,0.367843,3.162101,2.930912,3.249923,1.896818,1.615374,-1,1.923504,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.182909685260406,"1990FT"
"IWTH25",140.8638,39.0092,295.916135,295.916135,291.831045,"hard-soil",506,495,0.267135,2.065707,1.968301,2.189218,1.536701,0.835072,-1,1.815296,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0351440624349747,"1990FT"
"AKTH06",140.4952,38.9801,297.353442,297.353442,293.288373,"rock",455,352,0.198095,1.262252,1.259739,1.306478,0.920565,0.47273,-1,1.001802,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.099498680418121,"1990FT"
"SZOH33",138.3526,35.0146,299.924787,299.924787,295.895045,"rock",519,405,0.145641,0.453668,0.385997,0.490781,0.322159,0.187746,-1,0.973648,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.40181804677728,"1990FT"
"NGNH21",137.9236,35.8315,301.379755,301.379755,297.369731,"rock",507,471,0.089697,1.066844,1.041701,1.081656,0.66763,0.712767,-1,0.958099,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0363326941922244,"1990FT"
"YMTH08",140.0333,38.9701,306.880035,306.880035,302.942826,"hard-soil",320,272,0.361525,0.607461,0.561496,0.621787,0.419621,0.300145,-1,1.608047,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.456952071387651,"1990FT"
"NGNH24",137.8797,35.6152,311.337871,311.337871,307.457753,"soft-soil",464,427,0.644202,0.931845,0.882839,0.967472,0.591938,0.695549,-1,1.989186,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.35279388382162,"1990FT"
"NGNH10",137.7669,35.9632,312.221313,312.221313,308.352312,"rock",511,448,0.122105,0.481194,0.476558,0.517125,0.327496,0.222542,-1,0.850374,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.251494208794457,"1990FT"
"IWTH04",141.3909,39.1809,314.313546,314.313546,310.470619,"rock",455,372,0.190909,3.19437,3.025135,3.302078,1.9543,1.180436,-1,0.831135,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.56107318898417,"1990FT"
"NGNH13",137.8767,35.5143,315.042022,315.042022,311.20809,"rock",513,440,0.061538,0.755484,0.753834,0.869373,0.575489,0.282858,-1,0.824547,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0389396944654081,"1990FT"
"AKTH04",140.7129,39.174,315.266285,315.266285,311.435114,"hard-soil",458,362,0.220775,1.855321,1.640469,1.974484,1.154513,0.518947,-1,1.466845,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0485838031043401,"1990FT"
"IWTH24",141.0118,39.1979,315.73309,315.73309,311.907653,"soft-soil",486,447,0.722678,1.560633,1.386219,1.589902,1.006704,0.879639,-1,1.895843,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135970522221305,"1990FT"
"NGNH30",137.6849,36.064,317.761879,317.761879,313.961162,"rock",456,373,0.156303,0.472201,0.392924,0.518875,0.347311,0.190139,-1,0.800444,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.309022397015069,"1990FT"
"NGNH20",137.7173,35.787,320.417813,320.417813,316.648977,"rock",529,467,0.087625,0.389804,0.374644,0.48024,0.334499,0.235157,-1,0.77764,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.317159809919577,"1990FT"
"NGNH18",137.595,35.9324,327.900667,327.900667,324.218826,"soft-soil",379,334,0.69103,1.345149,1.300698,1.730128,1.223038,0.531639,-1,1.661223,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.106251462924505,"1990FT"
"IWTH22",141.3015,39.334,330.67426,330.67426,327.023648,"rock",532,422,0.152782,1.637119,1.548943,1.943571,1.373302,0.833312,-1,0.695933,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.347468005810995,"1990FT"
"AKTH03",140.1283,39.2223,330.727267,330.727267,327.077247,"medium-soil",320,277,0.583426,0.5907,0.520787,0.627801,0.426932,0.308905,-1,1.008526,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.287026964150094,"1990FT"
"NGNH23",137.6105,35.6056,334.729263,334.729263,331.12336,"rock",524,461,0.106667,0.883436,0.751978,0.893233,0.539697,0.355194,-1,0.666219,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0525881207406007,"1990FT"
"IWTH19",141.0001,39.4559,344.075511,344.075511,340.568579,"rock",482,417,0.123209,1.623584,1.610426,1.802198,1.255616,0.459007,-1,0.602794,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.42677185268402,"1990FT"
"IWTH21",141.9336,39.4734,352.456076,352.456076,349.033359,"rock",521,398,0.168333,2.700375,2.347037,2.881153,1.704774,0.649997,-1,0.551404,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.629050023868707,"1990FT"
"AKTH16",140.3481,39.545,360.619963,360.619963,357.275465,"soft-soil",375,346,0.613675,0.630328,0.619314,0.677121,0.466756,0.331826,-1,1.171818,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.276949267177727,"1990FT"
"IWTH15",141.0929,39.6148,361.319975,361.319975,357.982017,"soft-soil",337,300,0.96,1.944839,1.729973,1.96123,1.113005,0.824411,-1,1.163207,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.172382318029622,"1990FT"
"IWTH16",140.9465,39.6436,364.903317,364.903317,361.598439,"rock",534,502,0.173626,1.281065,1.083883,1.298907,0.68217,0.745044,-1,0.483527,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.350561674747225,"1990FT"
"IWTH02",141.3826,39.825,384.93791,384.93791,381.806488,"hard-soil",389,304,0.257778,2.799706,2.422897,2.81731,1.940901,0.553244,-1,0.699571,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.539503154250351,"1990FT"
"AKTH01",140.579,39.8147,386.582667,386.582667,383.464677,"rock",475,412,0.170233,0.5802,0.574262,0.661866,0.453396,0.432649,-1,0.385651,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.172915617313272,"1990FT"
