"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","sigma","valid","event.num","mag","eq.type","depth","resids","model","pred.type","pred","obs"
"IBR006",140.4528,36.369,79.781877,79.781877,62.96148,"hard-soil",393,331,0.214417,0.21,0,20040408020.69,5.6,"intra-plate",49,0.186681381640159,"1990FT","PGA2",34.021885,52.292542
"CHB005",140.83,35.7358,92.316573,92.316573,78.239055,"hard-soil",505,430,0.254278,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.440666303084799,"1990FT","PGA2",27.003327,9.789285
"TCG006",140.1297,36.7639,111.9246,111.9246,100.628605,"rock",487,413,0.134737,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0771354445750705,"1990FT","PGA2",10.870818,12.983676
"IBR008",139.9828,36.3062,116.363309,116.363309,105.54345,"rock",557,476,0.088,0.21,0,20040408020.69,5.6,"intra-plate",49,0.366039214781517,"1990FT","PGA2",10.125998,23.522152
"FKS016",140.1914,37.1228,128.070611,128.070611,118.326166,"hard-soil",302,250,0.391762,0.21,0,20040408020.69,5.6,"intra-plate",49,0.463540208421381,"1990FT","PGA2",15.063036,43.797843
"TCG012",139.8047,36.2859,131.180349,131.180349,121.685184,"hard-soil",379,318,0.322957,0.21,0,20040408020.69,5.6,"intra-plate",49,0.220442080355411,"1990FT","PGA2",14.373221,23.877903
"CHB018",140.3222,35.1577,163.560998,163.560998,156.048711,"hard-soil",343,286,0.247977,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.638960423772218,"1990FT","PGA2",9.054255,2.079181
"TCG010",139.4376,36.6347,163.635575,163.635575,156.126876,"rock",540,461,0.149865,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0930477830345274,"1990FT","PGA2",5.071989,6.283854
"TCG004",139.4204,36.8061,169.09789,169.09789,161.842814,"hard-soil",452,383,0.280026,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0999281105435045,"1990FT","PGA2",8.399702,6.673225
"GNM009",139.3251,36.4106,171.236913,171.236913,164.076447,"hard-soil",414,349,0.29666,0.21,0,20040408020.69,5.6,"intra-plate",49,0.358903976045017,"1990FT","PGA2",8.161852,18.650595
"FKS029",139.3801,37.0159,179.859227,179.859227,173.055891,"rock",454,385,0.16092,0.21,0,20040408020.69,5.6,"intra-plate",49,0.418827802445377,"1990FT","PGA2",4.08206,10.707971
"MYG016",140.621,38.0085,192.104797,192.104797,185.750513,"hard-soil",444,375,0.282344,0.21,0,20040408020.69,5.6,"intra-plate",49,0.043019711374066,"1990FT","PGA2",6.210236,6.8569
"KNG008",139.3265,35.5751,194.260955,194.260955,187.979569,"hard-soil",330,275,0.35939,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0578691010826053,"1990FT","PGA2",6.04132,6.902413
"GNM003",139.0784,36.6578,194.526945,194.526945,188.254436,"hard-soil",395,333,0.310319,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251121504362047,"1990FT","PGA2",6.02085,10.734438
"GNM002",138.9695,36.7819,206.176257,206.176257,200.268941,"rock",465,394,0.122909,0.21,0,20040408020.69,5.6,"intra-plate",49,0.538535891427038,"1990FT","PGA2",2.914576,10.071897
"MYG012",141.0193,38.3175,219.786533,219.786533,214.254802,"rock",430,363,0.156303,0.21,0,20040408020.69,5.6,"intra-plate",49,0.505187798842026,"1990FT","PGA2",2.463722,7.884597
"NIG019",138.7898,37.3057,239.133136,239.133136,234.059088,"hard-soil",395,332,0.312805,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.139334659716514,"1990FT","PGA2",3.480985,2.525617
"TKY008",139.3909,34.7852,244.198275,244.198275,239.231682,"hard-soil",445,377,0.282535,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135230601661629,"1990FT","PGA2",3.278563,2.401336
"NGN014",138.4844,36.0956,247.073836,247.073836,242.166225,"hard-soil",314,261,0.294689,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.177763071171796,"1990FT","PGA2",3.169499,2.104881
"IBRH18",140.6198,36.3631,68.612749,68.612749,48.028214,"rock",558,487,0.138889,0.21,0,20040408020.69,5.6,"intra-plate",49,0.475110448024446,"1990FT","PGA2",23.840721,71.191777
"IBRH13",140.575,36.7955,84.322152,84.322152,68.623796,"hard-soil",335,287,0.317815,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0563982132069734,"1990FT","PGA2",31.226023,35.556163
"IBRH15",140.3013,36.5566,92.643562,92.643562,78.624612,"rock",450,343,0.164912,0.21,0,20040408020.69,5.6,"intra-plate",49,0.58620223204343,"1990FT","PGA2",15.054462,58.058722
"IBRH17",140.314,36.0864,96.111734,96.111734,82.682921,"soft-soil",300,272,2.746074,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0605006514542086,"1990FT","PGA2",32.815592,37.7208
"FKSH13",140.5853,36.9951,97.432078,97.432078,84.214072,"rock",561,428,0.170909,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30697981803373,"1990FT","PGA2",13.844431,28.070809
"IBRH12",140.3181,36.8369,102.236696,102.236696,89.729271,"hard-soil",485,400,0.2,0.21,0,20040408020.69,5.6,"intra-plate",49,0.256121794055994,"1990FT","PGA2",22.745193,41.021489
"TCGH13",140.1781,36.7342,107.200365,107.200365,95.346307,"rock",573,456,0.106667,0.21,0,20040408020.69,5.6,"intra-plate",49,0.555836533547984,"1990FT","PGA2",11.741409,42.223745
"FKSH12",140.5703,37.2169,116.339528,116.339528,105.517229,"hard-soil",448,357,0.244,0.21,0,20040408020.69,5.6,"intra-plate",49,0.330248962088195,"1990FT","PGA2",18.064835,38.644079
"TCGH12",139.9842,36.6959,120.518725,120.518725,110.107961,"medium-soil",343,305,0.523077,0.21,0,20040408020.69,5.6,"intra-plate",49,0.171114211108086,"1990FT","PGA2",13.754601,20.396808
"TCGH10",140.0225,36.8578,123.851419,123.851419,113.746094,"hard-soil",371,306,0.277333,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30887034082577,"1990FT","PGA2",16.065595,32.716524
"TCGH15",139.8637,36.5595,126.989967,126.989967,117.155673,"hard-soil",423,337,0.251034,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0608128844752471,"1990FT","PGA2",15.312265,17.61377
"FKSH20",140.9871,37.4911,132.491338,132.491338,123.097339,"medium-soil",350,350,0.589714,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251836857389129,"1990FT","PGA2",11.45967,20.464869
"FKSH09",140.4264,37.353,134.277061,134.277061,125.017315,"rock",584,433,0.16381,0.21,0,20040408020.69,5.6,"intra-plate",49,0.625469431077237,"1990FT","PGA2",7.695958,32.488684
"FKSH19",140.7227,37.4703,135.09439,135.09439,125.894775,"hard-soil",338,255,0.313725,0.21,0,20040408020.69,5.6,"intra-plate",49,0.249107386623619,"1990FT","PGA2",13.559245,24.062619
"FKSH10",140.093,37.1616,136.762701,136.762701,127.683344,"rock",487,401,0.106667,0.21,0,20040408020.69,5.6,"intra-plate",49,0.742638535156222,"1990FT","PGA2",7.418404,41.015595
"TCGH11",139.7694,36.7084,137.903636,137.903636,128.904666,"hard-soil",328,256,0.3,0.21,0,20040408020.69,5.6,"intra-plate",49,0.307764154340102,"1990FT","PGA2",13.009593,26.425783
"TCGH09",139.8364,36.8625,137.98283,137.98283,128.989385,"rock",468,378,0.133333,0.21,0,20040408020.69,5.6,"intra-plate",49,0.128526402168959,"1990FT","PGA2",7.286633,9.796102
"FKSH08",140.2144,37.2822,138.66766,138.66766,129.721701,"rock",562,473,0.115556,0.21,0,20040408020.69,5.6,"intra-plate",49,0.446138367514931,"1990FT","PGA2",7.213921,20.15161
"FKSH18",140.538,37.4894,142.470341,142.470341,133.778914,"hard-soil",307,251,0.390649,0.21,0,20040408020.69,5.6,"intra-plate",49,0.31186310014146,"1990FT","PGA2",12.172729,24.960372
"FKSH05",139.8725,37.2544,157.079996,157.079996,149.241834,"rock",596,458,0.153333,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0727211915283031,"1990FT","PGA2",5.550605,4.694822
"FKSH17",140.5974,37.6636,157.578847,157.578847,149.766795,"rock",543,434,0.133333,0.21,0,20040408020.69,5.6,"intra-plate",49,0.457917932419617,"1990FT","PGA2",5.512352,15.821763
"TCGH07",139.4534,36.8817,168.846905,168.846905,161.58056,"hard-soil",419,343,0.252727,0.21,0,20040408020.69,5.6,"intra-plate",49,0.188073666024043,"1990FT","PGA2",8.428141,12.995873
"FKSH16",140.3766,37.7643,174.473229,174.473229,167.45121,"rock",531,462,0.088889,0.21,0,20040408020.69,5.6,"intra-plate",49,0.144602669638895,"1990FT","PGA2",4.383269,6.115061
"SITH06",139.2894,36.1131,177.280447,177.280447,170.374168,"hard-soil",369,294,0.218182,0.21,0,20040408020.69,5.6,"intra-plate",49,0.204545992106562,"1990FT","PGA2",7.5313,12.061906
"MYGH10",140.8924,37.9411,180.481936,180.481936,173.702991,"soft-soil",347,329,0.928685,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0949676535215638,"1990FT","PGA2",9.379756,11.672374
"CHBH16",139.9649,35.1384,182.34007,182.34007,175.632859,"hard-soil",361,330,0.30303,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.41110619316426,"1990FT","PGA2",7.046789,2.734545
"SITH11",139.2726,35.8637,185.724165,185.724165,179.143701,"hard-soil",371,279,0.264727,0.21,0,20040408020.69,5.6,"intra-plate",49,0.148914703680727,"1990FT","PGA2",6.742914,9.500847
"SITH10",139.2191,35.9964,185.994729,185.994729,179.424188,"rock",542,404,0.154286,0.21,0,20040408020.69,5.6,"intra-plate",49,0.196766426708209,"1990FT","PGA2",3.767821,5.927297
"FKSH03",139.7533,37.6078,190.287895,190.287895,183.870832,"soft-soil",349,302,0.887944,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.39247482689656,"1990FT","PGA2",8.257908,3.344993
"MYGH09",140.6027,38.0091,192.573436,192.573436,186.235142,"medium-soil",358,315,0.400272,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0290214426344667,"1990FT","PGA2",5.019221,4.694776
"TKYH12",139.265,35.6701,194.336055,194.336055,188.057179,"hard-soil",325,268,0.382456,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0897066006322531,"1990FT","PGA2",6.035532,4.90918
"YMTH07",140.0278,37.896,200.861323,200.861323,194.792892,"hard-soil",371,312,0.242956,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.413157201871716,"1990FT","PGA2",5.556119,2.145924
"FKSH21",139.3147,37.3421,201.147601,201.147601,195.088076,"hard-soil",364,317,0.287059,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.445924829653415,"1990FT","PGA2",5.536106,1.982803
"KNGH18",139.1283,35.6437,206.399487,206.399487,200.498749,"hard-soil",388,349,0.324943,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.118336772172742,"1990FT","PGA2",5.183192,3.94694
"SITH08",138.9691,36.0274,206.450021,206.450021,200.55077,"rock",520,399,0.141176,0.21,0,20040408020.69,5.6,"intra-plate",49,0.298961354518765,"1990FT","PGA2",2.90463,5.781655
"GNMH11",138.921,36.2862,206.690884,206.690884,200.798709,"hard-soil",421,375,0.327619,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.212015177247131,"1990FT","PGA2",5.164376,3.169587
"MYGH07",140.6405,38.1802,209.639075,209.639075,203.832141,"soft-soil",365,334,1.163761,0.21,0,20040408020.69,5.6,"intra-plate",49,0.411494903977586,"1990FT","PGA2",6.467145,16.68044
"NIGH08",139.4648,37.6708,212.583102,212.583102,206.858829,"soft-soil",326,304,1.343415,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.563254605863908,"1990FT","PGA2",6.235598,1.704604
"YMTH05",139.8017,37.9883,219.726015,219.726015,214.192721,"rock",533,498,0.044444,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.625109666768004,"1990FT","PGA2",2.465544,0.584525
"NIGH12",138.9821,37.2239,220.28304,220.28304,214.764098,"rock",552,493,0.129333,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.488646111454903,"1990FT","PGA2",2.448836,0.794902
"NIGH14",138.8521,37.0303,223.040957,223.040957,217.591977,"hard-soil",437,367,0.217857,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.611589876183534,"1990FT","PGA2",4.222883,1.032807
"YMNH14",138.9675,35.5115,225.416838,225.416838,220.026705,"hard-soil",309,236,0.313023,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.392194249467275,"1990FT","PGA2",4.102942,1.663034
"NIGH07",139.261,37.6658,225.421086,225.421086,220.031057,"rock",528,403,0.148571,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.542053213690476,"1990FT","PGA2",2.300597,0.66037
"NIGH09",139.1279,37.5386,226.274708,226.274708,220.905508,"rock",462,399,0.153333,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.299886905006312,"1990FT","PGA2",2.276961,1.141481
"NIGH11",138.744,37.1728,237.116516,237.116516,231.998367,"soft-soil",375,363,0.789231,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.833515222410441,"1990FT","PGA2",4.631721,0.679559
"NIGH06",139.0676,37.6527,237.704012,237.704012,232.598791,"hard-soil",336,264,0.248889,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.213261666759974,"1990FT","PGA2",3.540592,2.166777
"NGNH19",138.5845,35.9735,240.7492,240.7492,235.709943,"rock",473,425,0.102614,0.21,0,20040408020.69,5.6,"intra-plate",49,0.00475496197927955,"1990FT","PGA2",1.914912,1.935993
"GNMH08",138.5244,36.4917,241.062944,241.062944,236.030385,"soft-soil",338,314,1.158133,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.149146158327534,"1990FT","PGA2",4.419764,3.135111
"NIGH04",139.5428,38.1313,245.297201,245.297201,240.353317,"soft-soil",392,359,0.683254,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.498900516685685,"1990FT","PGA2",4.204292,1.332884
"YMTH14",139.9916,38.386,249.134747,249.134747,244.268545,"medium-soil",310,261,0.514,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.191587374224291,"1990FT","PGA2",2.51553,1.618237
"SZOH38",138.9779,35.0854,249.196667,249.196667,244.331698,"rock",588,526,0.094713,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.311916765406811,"1990FT","PGA2",1.733591,0.845337
"MYGH06",141.071,38.5907,249.22352,249.22352,244.359086,"rock",593,554,0.04,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135940250917938,"1990FT","PGA2",1.733046,1.267272
"MYGH05",140.7804,38.5793,250.0667,250.0667,245.218993,"soft-soil",305,283,0.885214,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.140296816949506,"1990FT","PGA2",3.975462,2.878
"NIGH02",139.5486,38.2799,258.129253,258.129253,253.435813,"medium-soil",359,342,0.55697,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.295589545021257,"1990FT","PGA2",2.265369,1.146963
"YMNH12",138.449,35.5623,265.233242,265.233242,260.667744,"rock",447,363,0.166667,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.143894130286668,"1990FT","PGA2",1.439439,1.033473
"NGNH11",138.3052,35.9157,266.245154,266.245154,261.69731,"medium-soil",372,315,0.419017,0.21,0,20040408020.69,5.6,"intra-plate",49,0.193259884708395,"1990FT","PGA2",2.063088,3.21942
"YMTH11",140.5544,38.7132,267.754482,267.754482,263.232716,"medium-soil",411,336,0.493221,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.127835088274018,"1990FT","PGA2",2.02771,1.510674
"YMTH12",140.0055,38.6357,273.550921,273.550921,269.126562,"medium-soil",366,338,0.454315,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.409848410584845,"1990FT","PGA2",1.897914,0.738632
"IWTH05",141.3512,38.8654,279.620858,279.620858,275.294069,"hard-soil",429,372,0.260769,0.21,0,20040408020.69,5.6,"intra-plate",49,0.2046427103156,"1990FT","PGA2",2.178977,3.490562
"SZOH39",138.7724,34.7988,283.092508,283.092508,278.819598,"hard-soil",376,285,0.222222,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.657780247286671,"1990FT","PGA2",2.095297,0.46075
"NGNH27",138.0479,36.577,283.366771,283.366771,279.09806,"hard-soil",381,318,0.251286,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.76329091796062,"1990FT","PGA2",2.088837,0.360258
"SZOH34",138.4243,35.1304,287.861801,287.861801,283.660741,"rock",430,370,0.136092,0.21,0,20040408020.69,5.6,"intra-plate",49,0.00461992527415035,"1990FT","PGA2",1.113651,1.125561
"IWTH26",141.0013,38.969,290.72019,290.72019,286.561039,"hard-soil",371,320,0.367843,0.21,0,20040408020.69,5.6,"intra-plate",49,0.182909685260406,"1990FT","PGA2",1.923504,2.930912
"IWTH25",140.8638,39.0092,295.916135,295.916135,291.831045,"hard-soil",506,495,0.267135,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0351440624349747,"1990FT","PGA2",1.815296,1.968301
"AKTH06",140.4952,38.9801,297.353442,297.353442,293.288373,"rock",455,352,0.198095,0.21,0,20040408020.69,5.6,"intra-plate",49,0.099498680418121,"1990FT","PGA2",1.001802,1.259739
"SZOH33",138.3526,35.0146,299.924787,299.924787,295.895045,"rock",519,405,0.145641,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.40181804677728,"1990FT","PGA2",0.973648,0.385997
"NGNH21",137.9236,35.8315,301.379755,301.379755,297.369731,"rock",507,471,0.089697,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0363326941922244,"1990FT","PGA2",0.958099,1.041701
"YMTH08",140.0333,38.9701,306.880035,306.880035,302.942826,"hard-soil",320,272,0.361525,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.456952071387651,"1990FT","PGA2",1.608047,0.561496
"NGNH24",137.8797,35.6152,311.337871,311.337871,307.457753,"soft-soil",464,427,0.644202,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.35279388382162,"1990FT","PGA2",1.989186,0.882839
"NGNH10",137.7669,35.9632,312.221313,312.221313,308.352312,"rock",511,448,0.122105,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.251494208794457,"1990FT","PGA2",0.850374,0.476558
"IWTH04",141.3909,39.1809,314.313546,314.313546,310.470619,"rock",455,372,0.190909,0.21,0,20040408020.69,5.6,"intra-plate",49,0.56107318898417,"1990FT","PGA2",0.831135,3.025135
"NGNH13",137.8767,35.5143,315.042022,315.042022,311.20809,"rock",513,440,0.061538,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0389396944654081,"1990FT","PGA2",0.824547,0.753834
"AKTH04",140.7129,39.174,315.266285,315.266285,311.435114,"hard-soil",458,362,0.220775,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0485838031043401,"1990FT","PGA2",1.466845,1.640469
"IWTH24",141.0118,39.1979,315.73309,315.73309,311.907653,"soft-soil",486,447,0.722678,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135970522221305,"1990FT","PGA2",1.895843,1.386219
"NGNH30",137.6849,36.064,317.761879,317.761879,313.961162,"rock",456,373,0.156303,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.309022397015069,"1990FT","PGA2",0.800444,0.392924
"NGNH20",137.7173,35.787,320.417813,320.417813,316.648977,"rock",529,467,0.087625,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.317159809919577,"1990FT","PGA2",0.77764,0.374644
"NGNH18",137.595,35.9324,327.900667,327.900667,324.218826,"soft-soil",379,334,0.69103,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.106251462924505,"1990FT","PGA2",1.661223,1.300698
"IWTH22",141.3015,39.334,330.67426,330.67426,327.023648,"rock",532,422,0.152782,0.21,0,20040408020.69,5.6,"intra-plate",49,0.347468005810995,"1990FT","PGA2",0.695933,1.548943
"AKTH03",140.1283,39.2223,330.727267,330.727267,327.077247,"medium-soil",320,277,0.583426,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.287026964150094,"1990FT","PGA2",1.008526,0.520787
"NGNH23",137.6105,35.6056,334.729263,334.729263,331.12336,"rock",524,461,0.106667,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0525881207406007,"1990FT","PGA2",0.666219,0.751978
"IWTH19",141.0001,39.4559,344.075511,344.075511,340.568579,"rock",482,417,0.123209,0.21,0,20040408020.69,5.6,"intra-plate",49,0.42677185268402,"1990FT","PGA2",0.602794,1.610426
"IWTH21",141.9336,39.4734,352.456076,352.456076,349.033359,"rock",521,398,0.168333,0.21,0,20040408020.69,5.6,"intra-plate",49,0.629050023868707,"1990FT","PGA2",0.551404,2.347037
"AKTH16",140.3481,39.545,360.619963,360.619963,357.275465,"soft-soil",375,346,0.613675,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.276949267177727,"1990FT","PGA2",1.171818,0.619314
"IWTH15",141.0929,39.6148,361.319975,361.319975,357.982017,"soft-soil",337,300,0.96,0.21,0,20040408020.69,5.6,"intra-plate",49,0.172382318029622,"1990FT","PGA2",1.163207,1.729973
"IWTH16",140.9465,39.6436,364.903317,364.903317,361.598439,"rock",534,502,0.173626,0.21,0,20040408020.69,5.6,"intra-plate",49,0.350561674747225,"1990FT","PGA2",0.483527,1.083883
"IWTH02",141.3826,39.825,384.93791,384.93791,381.806488,"hard-soil",389,304,0.257778,0.21,0,20040408020.69,5.6,"intra-plate",49,0.539503154250351,"1990FT","PGA2",0.699571,2.422897
"AKTH01",140.579,39.8147,386.582667,386.582667,383.464677,"rock",475,412,0.170233,0.21,0,20040408020.69,5.6,"intra-plate",49,0.172915617313272,"1990FT","PGA2",0.385651,0.574262
"IWTH01",141.3423,40.2383,430.287111,430.287111,427.488009,"rock",438,352,0.179832,0.21,0,20040408020.69,5.6,"intra-plate",49,0.780602685624104,"1990FT","PGA2",0.246617,1.488078
"IWTH06",141.1709,40.2611,432.490026,432.490026,429.705274,"medium-soil",431,356,0.493632,0.21,0,20040408020.69,5.6,"intra-plate",49,0.367439631921884,"1990FT","PGA2",0.349724,0.815014
"IWTH07",141.5709,40.2705,435.05273,435.05273,432.284487,"hard-soil",395,299,0.218519,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.000811030912427457,"1990FT","PGA2",0.41914,0.418358
"AOMH17",141.3374,40.4492,453.528643,453.528643,450.873851,"hard-soil",378,323,0.317157,0.21,0,20040408020.69,5.6,"intra-plate",49,0.389694413930937,"1990FT","PGA2",0.348188,0.854099
"HKD084",144.123,43.1141,90.747388,90.747388,77.65705,"rock",431,364,0.177647,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.121749199338181,"1990FT","PGA2",18.482555,24.463084
"HKD081",144.3901,43.6427,112.867629,112.867629,102.557306,"hard-soil",320,266,0.367778,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.259860127912872,"1990FT","PGA2",22.734874,12.497767
"HKD065",145.0565,43.7938,116.949778,116.949778,106.97508,"rock",438,370,0.114286,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.130521954140137,"1990FT","PGA2",11.95095,16.140775
"HKD095",143.2137,42.9311,153.176212,153.176212,145.859211,"hard-soil",333,277,0.263492,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.229474184942469,"1990FT","PGA2",12.489596,7.363329
"HKD096",143.1356,42.6975,159.817633,159.817633,152.841432,"hard-soil",382,320,0.31713,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.13633796440158,"1990FT","PGA2",11.393482,8.32374
"HKD038",142.5662,43.1666,206.773607,206.773607,201.419201,"rock",510,434,0.092308,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.277747408181075,"1990FT","PGA2",3.466003,6.570166
"HKD105",142.0543,42.4825,248.515738,248.515738,244.127554,"rock",375,314,0.165079,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.0908479809770389,"1990FT","PGA2",2.096386,2.584159
"HKD185",141.4021,42.7755,297.516295,297.516295,293.862186,"hard-soil",311,258,0.382668,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.171237869951554,"1990FT","PGA2",2.141701,3.17685
"HKD134",141.0791,42.6711,324.315247,324.315247,320.97685,"hard-soil",372,312,0.325146,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.269077789797066,"1990FT","PGA2",1.597241,2.967893
"KSRH06",144.4285,43.22,78.698914,78.698914,63.106279,"soft-soil",326,279,1.541054,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.274333769750589,"1990FT","PGA2",53.434588,100.497726
"KSRH05",144.2338,43.2556,90.889544,90.889544,77.791177,"soft-soil",388,318,1.106939,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.132108012708908,"1990FT","PGA2",42.710112,31.508135
"NMRH02",144.9618,43.6772,105.135443,105.135443,93.936172,"soft-soil",315,266,0.80154,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.334164214502826,"1990FT","PGA2",33.481711,72.272297
"NMRH01",145.0246,43.785,115.970129,115.970129,105.90621,"soft-soil",437,381,0.70237,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.105986689880551,"1990FT","PGA2",28.116249,22.027778
"TKCH02",143.8983,43.3822,117.892997,117.892997,108.122846,"hard-soil",440,359,0.249879,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.462087956436824,"1990FT","PGA2",20.999879,7.246509
"TKCH05",143.6181,43.1211,125.800734,125.800734,116.738068,"hard-soil",337,271,0.283056,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.0166115244167806,"1990FT","PGA2",18.591024,19.315895
"ABSH14",144.1835,43.7228,127.838946,127.838946,118.8377,"medium-soil",351,302,0.557359,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.46234557290946,"1990FT","PGA2",14.657023,5.054756
"ABSH09",144.8071,43.9269,131.377765,131.377765,122.582717,"soft-soil",394,321,0.866683,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.117793808288791,"1990FT","PGA2",22.2081,16.932364
"TKCH01",143.683,43.4683,136.293783,136.293783,127.93918,"rock",444,376,0.166845,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.263659449501832,"1990FT","PGA2",8.914631,4.857848
"TKCH03",143.4317,43.2708,144.140571,144.140571,136.297953,"soft-soil",372,308,0.811363,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.315717456520077,"1990FT","PGA2",18.433944,8.910474
"ABSH08",144.9935,44.064,144.826593,144.826593,136.87702,"rock",517,436,0.153846,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.0853292222480431,"1990FT","PGA2",7.879441,9.590133
"ABSH15",143.51,43.6352,157.170308,157.170308,149.976692,"hard-soil",464,498,0.355693,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.653311210488165,"1990FT","PGA2",11.81613,2.62521
"TKCH08",143.152,42.4865,162.655389,162.655389,155.822592,"soft-soil",353,312,0.674489,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.139836503230125,"1990FT","PGA2",14.23796,10.318374
"ABSH13",143.4514,43.7419,167.640095,167.640095,160.909256,"medium-soil",463,418,0.421554,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.322107562553201,"1990FT","PGA2",8.330161,3.967764
"TKCH11",142.883,42.8742,178.811801,178.811801,172.60163,"hard-soil",458,424,0.366794,0.21,0,200412030612.69,5.9,"inter-plate",47.3,0.0507542380308513,"1990FT","PGA2",8.832153,9.927064
"TKCH04",142.9176,43.1739,179.707888,179.707888,173.506802,"hard-soil",445,380,0.210526,0.21,0,200412030612.69,5.9,"inter-plate",47.3,-0.142906319962036,"1990FT","PGA2",8.729014,6.281435
